City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saldanha,-33.0117,17.9442,290.15,82,6,2.57,ZA,1612404021
Georgiyevka,43.0369,74.7114,268.15,93,90,0.63,KZ,1612404021
Upernavik,72.7868,-56.1549,246.75,70,0,2.17,GL,1612404021
Vaini,-21.2,-175.2,300.85,82,100,4.39,TO,1612404022
Qaanaaq,77.484,-69.3632,243.14,64,0,2.2,GL,1612404022
Esperance,-33.8667,121.9,289.15,55,90,9.26,AU,1612403980
Aloleng,16.1307,119.7824,300.66,56,0,3.72,PH,1612404023
Mataura,-46.1927,168.8643,291.91,32,0,3.71,NZ,1612404023
Araceli,10.5529,119.9913,300.09,79,86,12.09,PH,1612404024
Nivala,63.9167,24.9667,259.26,90,100,2.81,FI,1612404024
Hobart,-42.8794,147.3294,295.93,68,20,2.57,AU,1612403958
Deputatsky,69.3,139.9,241.33,88,99,0.73,RU,1612404024
Kysyl-Syr,63.8986,122.7617,236.99,81,100,4.04,RU,1612404025
Puli,23.9664,120.9695,294.15,52,20,2.06,TW,1612403771
Arrondissement de Bar-le-Duc,48.75,5.1667,280.15,93,75,2.57,FR,1612404026
Porto Belo,-27.1578,-48.5531,300.15,94,40,3.14,BR,1612404026
Jamestown,42.097,-79.2353,268.15,93,1,3.6,US,1612404026
Morgan City,29.6994,-91.2068,283.15,71,1,2.06,US,1612403799
Asău,46.4333,26.4,277.04,63,82,2.72,RO,1612404027
Chato,-2.6378,31.7669,291.2,92,1,2.98,TZ,1612404027
Tezu,27.9167,96.1667,293.42,27,4,0.5,IN,1612403771
Punta Arenas,-53.15,-70.9167,287.15,77,20,3.09,CL,1612403770
Shelburne,44.0787,-80.2041,268.71,81,0,5.52,CA,1612404028
Hisar,29.1667,75.7167,288.61,49,90,1.93,IN,1612403789
Port Alfred,-33.5906,26.891,294.26,91,38,0.89,ZA,1612404029
Ca Mau,9.1769,105.15,300.45,61,85,3.68,VN,1612403789
Sitka,57.0531,-135.33,276.15,75,90,2.57,US,1612403734
Rikitea,-23.1203,-134.9692,298.68,72,1,6.21,PF,1612404030
Alugan,12.2188,125.4808,300.6,82,6,6.36,PH,1612404030
Bluff,-46.6,168.3333,287.0,61,0,10.29,NZ,1612404030
Avarua,-21.2078,-159.775,303.15,70,40,4.12,CK,1612404031
Okato,-39.2,173.8833,295.37,72,0,1.34,NZ,1612404031
Tofield,53.3668,-112.6686,252.15,92,31,3.6,CA,1612404032
Busselton,-33.65,115.3333,292.04,54,0,1.34,AU,1612404020
Kargopol',61.5071,38.9456,263.43,97,97,1.52,RU,1612404032
Chifeng,42.2683,118.9636,266.45,88,0,5.3,CN,1612404032
Lucea,18.451,-78.1736,297.04,73,75,3.09,JM,1612404033
Leh,34.1667,77.5833,257.31,60,82,1.39,IN,1612403797
Morón,-34.6534,-58.6198,294.82,78,93,1.34,AR,1612404033
Hermanus,-34.4187,19.2345,289.26,93,70,1.98,ZA,1612404034
Khatanga,71.9667,102.5,245.55,88,13,5.56,RU,1612404034
Kita,13.0349,-9.4895,295.0,18,47,1.76,ML,1612404034
Castro,-24.7911,-50.0119,293.38,89,100,0.42,BR,1612404029
Albany,42.6001,-73.9662,270.93,64,86,1.79,US,1612403982
Atuona,-9.8,-139.0333,298.8,71,0,4.32,PF,1612404035
Hailar,49.2,119.7,251.09,90,100,2.22,CN,1612404035
San Jose,37.3394,-121.895,286.15,54,40,5.14,US,1612404036
Peterhead,57.5058,-1.7981,275.15,80,75,7.2,GB,1612404036
Nuuk,64.1835,-51.7216,259.15,61,20,2.06,GL,1612404036
Akdepe,42.0551,59.3788,276.15,86,77,3.09,TM,1612404037
Zhezkazgan,47.8043,67.7144,263.92,91,100,1.93,KZ,1612403803
Longyearbyen,78.2186,15.6401,268.15,68,75,6.69,SJ,1612404037
Takhatgarh,25.3333,73.0,284.42,64,0,1.74,IN,1612403775
Saskylakh,71.9167,114.0833,234.48,78,0,2.98,RU,1612404038
